Type,Material Code,Material Name,UOM,Op.Stock-Warehouse,Received,Issued,Return,Unnamed: 8,Useable Material Total Closing Stock,Production Block,Rejection
RM,11067431,SALT - FLOW,KG,,645.0,5315.0,830.0,,,,
RM,11061702,WHITE SUGAR,KG,,,,,,,,
RM,11002301,MONOSODIUM GLUTAMATE,KG,,,,,,,,
RM,67548375,ONION POWDER,KG,,,,,,,,
RM,11067473,CITRIC ACID MONOHYDRATE (FOOD GRADE),KG,,,,,,,,
RM,11002242,SPICE CELERY POWDER,KG,50.0,,,,,,,25.0
RM,67550393,GARLIC POWDER,KG,,,,,,,,63.23
RM,67548417,WHITE PEPPER,KG,,,,,,,,
RM,11002253,SPICE TURMERIC POWDER,KG,,,,,,,,5.64
RM,11061729,I+G SODIUM 5'RIBONUCLEOTID,KG,,,,,,,,
RM,11827361,DRIED CORN STARCH 5% MOISTURE-SSL,KG,,,,,,,,400.0
RM,11061758,CORN STARCH - IMPORT,KG,,,,,,,,
RM,11067112,YEAST EXTR. MICROGRANUL. STANDARD 18% SA,KG,,,,,,,,
RM,67548424,SOYA SAUCE POWDER,KG,,,,,,,,
RM,11061732,COOKED CHICKEN POWDER IDF,KG,30.0,,,,,,16.3,
RM,11065981,FLAVOUR ULL4064H CHICKEN,KG,,,,,,,,
RM,11066541,INFAT 50,KG,,,,,,,,
RM,11068103,FRYTOL FAT (KNORR SOFT FAT),KG,,,,,,,,
RM,68529522,TURMERIC OLEORESIN,KG,25.0,,,,,,,
RM,69781265,SPICE OLEORESIN,KG,,,,,,,,
RM,69781147,CURRY SPICE POWDER HL,KG,,,,,,,,
,,,,,,,,,,,
RM,11067431,SALT (CITY SALT),KG,2000.0,,,,,,,
RM,11000448,SALT (WELLASSA),KG,,,,,,,,
RM,11000448,SALT (WIS),KG,,,,,,,,
,11000448,SALT (ST ANNE'S),KG,,,,,,,,
RM,11063712,DEHYDRATED MALDIVE FISH,KG,,,,,,,,
RM,67641184,MALDIVE FISH POWDER,KG,,,,,,,63.23,
RM,11055492,SILICA PRECIPITATED,KG,,,,,,,,
RM,67548282,PAPRIKA EXTRACT OIL SOLUBLE,KG,,,,,,,,
RM,11058892,SPICE ROASTED CHILLI POWDER,KG,,,,,,,,
RM,11063692,SMOKE FLAVOR 508386 TP0599,KG,25.0,,,,,,,
,,,,,,,,,,,
RM,11003072,MALTO DEXTRINE,KG,1000.0,,,,,,,
RM,11068106,HUL SPICE MIX 790,KG,100.0,,,,,,,
RM,11068122,ROSE PETAL SD FLAVOR 452746,KG,,,,,,,,
RM,11068110,FLAVOUR LEMONGRASS860662 TD0990B FIRMENI,KG,,,,,,,,
,,,,,,,,,,,
RM,67791483,HIGH NUCLEOTIDE YEAST EXTRACT,KG,,,,,,,,
RM,11068121,HUL SPICE MIX 821E,KG,25.0,,,,,,,
RM,11068105,OLEORESIN CHILI 4010000026,KG,,,,,,,10.45,
RM,11068104,BLACK PEPPER POWDER 32 MESH,KG,11.0,,,,,,,
,,,,,,,,,,,
RM,69628041,Tapioca Starch E1412 14% moisture (BIND T),KG,25.0,,,,,,,
RM,11057361,"Sodium bicarbonate,NaHCO3, food grade",KG,25.0,,,,,,,
,,,,,,,,,,,
FG,94010257,KN CHICK CUBE PC RMC (280gx10G)_0024,,,,,,,,,
PM,11511490,LAMI KNORR CUBE 10G ALU FOIL 8 MIC-ALUMINIUM COIL,M,,,,,,,,
PM,68441968,PLTUB KN CUBES PC PET NEW 280G-BOTTLE,EA,,,,,,,8076.0,
PM,68441966,PLID KN CUBES PC PP 280G -LID,EA,,,,,,,,
PM,64872135,FLB KN CUBES PC 280G REG2024,EA,36000.0,,,,,,,
PM,68441965,TAMPER LB KNORR CUBES PC 280G-SMALL STICKER,EA,,,,,,,0.0,
PM,69713625,CLD KN CUBES PC 280G X 24 RMC 2021 NEW ULCL,EA,73.0,,,,,,,
PM,68441969,PH PART KNORR CUBES 280G X 24-CLD SEPARATER,EA,,,,,,,,
PM,68441963,LAYER SEP KNORR CUBES 280G X 24 -CLD SEPERATOR,EA,,,,,,,,
PM,11490701,POLY /CLEAR 20 W 30 H 3 300G -GAUGE-POLYBAG,EA,,,,,,,,
PM,67998286,FLEX USL BOPP TAPE 3 INCH 50M 3P,M,,,,,,,,
PM,67998292,FLEX USL BOPP TAPE 3 INCH 1000M 3P,M,,,,,,,,
,,,,,,,,,,,
FG,94012468,Handy Pack Chicken Cube 120G X 48,,,,,,,,,
PM,64344224,PLTUB KN CUBES PC PET 102G-120G,EA,,,,,,,2541.0,
PM,64872138,LBL KN CHICK CUBES PC 120G REG2024,EA,22000.0,,,,,,,
PM,64344223,CLD KN CHICK CUBES PC 120G X 48 URMC,EA,,,,,,,,
PM,64344225,PHOLE PART KN CUBES PC 102G-120G,EA,,,,,,,,
PM,64344220,LASEP KN CUBES PC 102G-120G ,EA,,,,,,,,
PM,64344217,PLID KN CHICK CUBES PC 120G ,EA,,,,,,,680.0,
PM,64893688,SFG WADED LID KNORR CUBES 96G-120G,EA,,,,,,,,
FG,94012905,Press Cube,EA,,,,,,,,
PM,64781795,CLD KN PRESS CUBES PC 96G X 40 URMC,EA,,,,,,,,
PM,64781792,VER SEPARATOR KN CUBES PC 96G URMC,EA,618.0,,,,,,,
PM,64781796,LAYER SEP KN CUBES PC 96G URMC,EA,,,,,,,,
PM,64781794,PLTUB KN PRESS CUBES PC PET 96G,EA,4690.0,,,,,,225.0,
PM,64781790,LBL KN PRESS CUBES PC 96G URMC,EA,15966.0,,,,,,,
,,,,,,,,,,,
FG,94012262,Veg Curry cube (PC),,,,,,,,,
PM,68590192,PLTUB KN CUBES PC PET NEW 280G,EA,4610.0,,,,,,67.0,
PM,62752759,FLB KN VEG CUBES PC 238G NEW ULCL,EA,,,,,,,,
PM,62760450,TAMPER LB KNORR CURRY CUBES PC 238G,EA,9285.0,,,,,,,
PM,62752762,CLD KN VEG CUBES PC 238G X 24 NEW ULCL,EA,160.0,,,,,,,
PM,62752761,PLID KN VEG CUBES PC 238G,EA,,,,,,,,
,,,,,,,,,,,
,94012791,Knorr Seasoning Handy Pack MT x 120g,,,,,,,,,
PM,64411783,CLD KN CHICK CUBES PC 120G X 24 MT URMC,EA,,,,,,,,
PM,64411784,PHOLE PART KN CUBES PC 120G X 24 MT,EA,180.0,,,,,,160.0,
PM,64411785,LASEP KN CUBES PC 120G X 24 MT,EA,68.0,,,,,,,
,,,,,,,,,,,
FG,94010254,CHICK CUBES VD RMC (2 x 10G),,,,,,,,,
PM,69713618,CART KN CUBE SHELL BOX 20G RMC 2022 NEW ULCL,EA,,,,,,,,
PM,64872143,CART KN CUBE SHELL BOX 20G REG2024,EA,2400.0,,,,,,,
PM,11490700,GUM/CHEMIFIX (W)- 4KG,EA,,,,,,,,
PM,11490699,BOPP OVER WRAP FOR SHELL BOX - 30MICRONS,M,11000.0,,,,,,,
PM,69713627,CART KN CUBE VD 20GX15 RMC 2022 NEW ULCL,EA,9000.0,,,,,,,
PM,64872144,CART KN CUBE VD 20GX15 REG2024,EA,,,,,,,,
PM,69713617,CLD KN CUBES VD 20G X 360 NEW ULCL,EA,50.0,,,,,,4.0,
FG,94010256,Knorr Chicken Single Cube 10G (Strand),,,,,,,,,
PM,68744068,CLD KN CHICK CUBES 10G X 576 RMC,EA,,,,,,,,
PM,68880148,LAMI KNORR CUBES 10G FLOW WRAP RMC 2022,EA,,,,,,,,
,,,,,,,,,,,
FG,94010255,CHICK CUBES P/P RMC 60GM_0096,,,,,,,,,
PM,67567207,FLEX BOPP OVERWRAPPER 60G 30MIC,M,,,,,,,,
PM,69713619,CART KN CUBES P/P 60G RMC 2022,EA,0.0,,,,,,4422.0,
PM,64872137,CART KN CUBES P/P 60G REG2024,EA,1600.0,,,,,,,
PM,68784034,LAYSEP KN PANTRY PACK 60g x 96 ,EA,,,,,,,,
PM,68784036,PAD PART KN PANTRY PACK 60g x 96,EA,,,,,,,,
PM,69713623,CLD KN CUBE P/P 60g x 96 NEW ULCL,EA,,,,,,,,
FG,94010565,CHICK CUBES P/P RMC 60GM_0096 - EXPORT,,,,,,,,,
PM,68386279,FLEX BOPP OVERWRAPPER 60G 30MIC (Export),M,,,,,,,574.0,
PM,68501610,LAYSEP KN PANTRY PACK 60g x 96  (Export),EA,,,,,,,,
PM,68794566,CLD KN CUBE P/P 60g x 96 RMC 2021 (Export),EA,,,,,,,,
PM,68939930,CART KN CUBES 60G EXPORT RMC 2022 V2,EA,,,,,,,320.0,
FG,94010258 Â ,Knorr Single Cube 280g (Carton),,,,,,,,,
PM,68471141,CRPART REV KN CUBES 10G X 28 X 24,EA,917.0,,,,,,,
PM,68471138,PADPART REV KN CUBES 10G X 28 X 24,EA,100.0,,,,,,,
PM,68737941,CLD KN CUBES 280G X 24 RMC 2021,EA,54.0,,,,,,,
PM,68737939,CART KN CUBES 10G X 28 RMC 2021,EA,10000.0,,,,,,,
PM,68471139,TAMPER LB ARARAT KN CUBES 10G X 28,EA,67666.0,,,,,,,
PM,68695611,TAMPER LB ARARAT KN CUBES 10G X 28,EA,,,,,,,,
,,,,,,,,,,,
FG,94010325,KN CHICK CUBE CARTON (10g x 15),,,,,,,,,
PM,69663057,CART KN CUBES 10G X 15 RMC 2022,EA,,,,,,,554.0,
PM,69663059,CRPART KNORR CUBES 150G X 24 ,EA,,,,,,,,
PM,69663058,PART KNORR CUBES 150G X 24 ,EA,,,,,,,,
PM,69663055,CLD KN CUBES 150G X 24 RMC 2022,EA,29.0,,,,,,,
,,,,,,,,,,,
FG,94011735,KNORR VEG CURRY CUBE 20G,,,,,,,,,
PM,62720910,CART KN CUBE VD 17GX15 NEW ULCL,EA,,,,,,,6.0,
PM,69713624,CLD KN CUBE VD 17GX15 NEW ULCL,EA,,,,,,,,
PM,69780142,LAMI KN CUBE 8.5G WRAPPER ,EA,,,,,,,,
PM,69713621,CART KN VEG CUBE SHELL BOX 17G NEW ULCL,EA,,,,,,,,
PM,69788556,FLEX BOPP OVERWRAPPER 17G 30MIC,EA,,,,,,,1423.24324324324,
,,,,,,,,,,,
FG,94011438,KN CSP Pouch 500g ,,,,,,,,,
PM,64852690,LAMI POUCH KN UFS CSP 500G ,EA,,,,,,,,
PM,69672874,CRPART KN UFS CSP 500G POUCH X 24 ,EA,,,,,,,,
PM,69672875,LASEP KN UFS CSP 500G POUCH X 24,EA,,,,,,,,
PM,69779314,CLD KN UFS CSP 500G POUCH PACK  NEW ULCL,EA,86.0,,,,,,,
,,,,,,,,,,,
FG,94013777,Knor Chick Flavd Ssoning Powder500gx24FS,,,,,,,,,
PM,64852691,CLD KN CSP 500G X 24 REG2024,EA,300.0,,,,,,,
PM,64874799,SFG LBTUB CSP 500G X 24 REG2024,EA,56.0,,,,,,,
,,,,,,,,,,,
FG,94010488,MARMITE SMALL 50G,,,,,,,,,
PM,11061724,MARMITE BULK ,KG,,,,,,,,
PM,68762505,BOTTLE GLASS MARMITE 50G TAMPER 2021 ,EA,,,,,,,,5488.0
PM,68762504,PLID MARMITE 50G TAMPER 2021,EA,,,,,,,,
PM,11505718,FLB MARMITE 55GX60 628/2014/USLL RELAUNCH 2014   ,EA,,,,,,,,
PM,64872146,CRT MARMITE 50G URMC 2021 NEW ULCL,EA,,,,,,,123.0,
PM,69713695,CLD MARMITE 50G X 60 URMC 2021 NEW ULCL,EA,135.0,,,,,,,
FG,,MARMITE SMALL 50G,,,,,,,,,
PM,64928063,CLD MARMITE 50G X 60 AVURUDU 2025,EA,106.0,,,,,,,
PM,64928068,FLB MARMITE 50G AVURUDU 2025,EA,,,,,,,,
PM,64928060,CRT MARMITE 50G AVURUDU 2025,EA,500.0,,,,,,,
,,,,,,,,,,,
FG,94010489,Marmite Yeast Extract 100g,,,,,,,,,
PM,69713689,CLD MARMITE 100G X 48 URMC 2021 New Ulcl,EA,,,,,,,,
PM,68762503,BOTTLE GLASS MARMITE 100G TAMPER 2021,EA,,,,,,,,
PM,68762508,PLID MARMITE 100G TAMPER 2021,EA,,,,,,,,
PM,11505712,FLB MARMITE 105G RELAUNCH 2014,EA,,,,,,,,
PM,64872140,CRT MARMITE 100G URMC 2021,EA,,,,,,,,
FG,94013627,Marmite Yeast Extract 100g,,,,,,,,,
PM,64928066,CLD MARMITE 100G X 48 AVURUDU 2025,EA,12.0,,,,,,,
PM,64928061,FLB MARMITE 100G AVURUDU 2025,EA,12862.0,,,,,,,
PM,64928062,CRT MARMITE 100G AVURUDU 2025,EA,,,,,,,,
,,,,,,,,,,,
FG,94010303,Marmite Yeast Extract 100g,,,,,,,,,
PM,69596310,CRT MARMITE 100G URMC 2021 OLD DESIGN,EA,27819.0,,,,,,,
PM,69596311,CLD MARMITE 100G X 48 URMC 2021,EA,404.0,,,,,,,
FG,94010490,Marmite Yeast Extract 200g,,,,,,,,,
PM,69713694,CLD MARMITE 200G X 36 URMC 2021 NEW ULCL,EA,,,,,,,3.0,
PM,68762507,BOTTLE GLASS MARMITE 200G TAMPER 2021,EA,,,,,,,10813.0,
PM,68762510,PLID MARMITE 200G TAMPER 2021,EA,,,,,,,,
PM,11505714,FLB MARMITE 210GX36 RELAUNCH 2014,EA,,,,,,,,
PM,64872147,CRT MARMITE 200G URMC 2021,EA,,,,,,,,
FG,94013628,Marmite Yeast Extract 200g,,,,,,,,,
PM,64928064,CLD MARMITE 200G X 36 URMC 2021,EA,46.0,,,,,,,
PM,64928067,FLB MARMITE 210GX36 RELAUNCH 2014,EA,,,,,,,,
PM,64928065,CRT MARMITE 200G URMC 2021,EA,,,,,,,,
FG,94011180,Marmite Batta 20g_0144,,,,,,,,,
PM,69601422,LAMI SPOUT POUCH MARMITE 20G MINI 2022,EA,,,,,,,835.0,
PM,68196482,LID SPOUT POUCH MARMITE MINI 20G,EA,,,,,,,,
PM,68304164,CART SR MARMITE MINI REV 20G X 12 ,EA,,,,,,,,
PM,68304165,CLD MARMITE MINI REV 20G X 144,EA,,,,,,,,
PM,68295361,LASEP MARMITE MINI 20G X 144,EA,,,,,,,,
,,,,,,,,,,,
FG,94012069,Marmite Yeast Extract 200g EXPORT,,,,,,,,,
PM,69998456,CLD MARMITE 200G X 12 NEW ULCL,EA,,,,,,,,
PM,64376619,CLD MARMITE 200G X 12 NEW ULCL AW 2024,EA,,,,,,,,
PM,69998455,PHOLE PART MARMITE 200G X 12 EXPORT UI,EA,,,,,,,,
PM,69998451,FLB MARMITE 200G EXPORT UI,EA,,,,,,,,
PM,64376613,BLB MARMITE 200G EXPORT UI AW 2024,EA,4976.0,,,,,,,
,,,,,,,,,,,
FG,94012068,Marmite Yeast Extract 100g EXPORT,,,,,,,,,
PM,64376621,CLD MARMITE 100G X 24 EXPORT UI AW 2024,EA,,,,,,,,
PM,69998450,PHOLE PART MARMITE100G X 24 EXPORT UI,EA,,,,,,,,
PM,69998453,LASEP MARMITE 100G X 24 EXPORT UI,EA,,,,,,,,
PM,69998461,FLB MARMITE 100G EXPORT UI,EA,,,,,,,,
PM,69998460,BLB MARMITE 100G EXPORT UI,EA,,,,,,,,
PM,64376612,BLB MARMITE 100G EXPORT UI AW 2024,EA,2823.0,,,,,,5647.0,
,,,,,,,,,,,
FG,94012395,Marmite Yeast Extract 410g EXPORT,,,,,,,,,
PM,64376615,CLD MARMITE 410G X 6 EX UI AW 2024,EA,,,,,,,,
PM,64316583, HOLE PART MARMITE 410G X 6 EXPORT UI,EA,,,,,,,,
PM,64316581,BOTTLE GLASS MARMITE410G EXPORT UI,EA,,,,,,,,
PM,64316582,PLID MARMITE 410G EXPORT UI,EA,1000.0,,,,,,,
PM,64316587,FLB MARMITE 410G EXPORT UI,EA,,,,,,,,
PM,64376618,BLB MARMITE 410G EXPORT UI AW 2024,EA,3004.0,,,,,,,
PM,64376617,TAMPER LBL MARMITE 410G EX UI AW 2024,EA,1000.0,,,,,,,
,,,,,,,,,,,
FG,94012617,MARMITE OUR MATE 200g Ex,,,,,,,,,
PM,64368840,CLD OUR MATE 200G X 12 NEW ULCL,EA,,,,,,,,
PM,64390861, ID LBL OUR MATE 200G EXPORT UI,EA,,,,,,,,
PM,64368841,PLID OUR MATE 200G EXPORT,EA,,,,,,,,
PM,64368839,FLB OUR MATE 200G EXPORT UI,EA,,,,,,,,
PM,64368842,BLB OUR MATE 200G EXPORT UI,EA,5712.0,,,,,,,
,,,,,,,,,,,
FG,94010494,Knorr Maldive Fish Powder Mix 8g,,,,,,,,,
PM,69772142,CLD KMF GT 8G X 576 RMC 2021 NEW ULCL,EA,,,,,,,,
PM,64872134,LAMI KMF 8G REG2024,EA,13888.0,,,,,,,
,,,,,,,,,,,
FG,94011481,KN Chicken Seasoning Pw 7.5g x 576,,,,,,,,,
PM,69772132,LAMI KNORR SEASONING 7.5G NEW ULCL,EA,,,,,,,,
PM,69772137,CLD KNORR SEASONING 7.5G X 576 NEW ULCL,EA,,,,,,,,
PM,64978945,LAMI SEASONING POWDER 7.5G REG2024,EA,,,,,,,,
,,,,,,,,,,,
FG,94012843,Crispy-FS x 1kg x 6,,,,,,,,,
PM,64402588,CLD KN CRISPY COATING 1KG X 6 ULCL,EA,265.0,,,,,,,
PM,64874795,SFG LBTUB CRISPY COATING 1KG ULCL,EA,,,,,,,22.0,
,,,,,,,,,,,
FG,94010430,Knor Chicken Ssoning Pw 1 kg ULCL-FS,,,,,,,,,
PM,69741616,CLD KN CSP BUTTERFLY URMC 1KG X 6,EA,,,,,,,,
PM,69741585,6001-TUB 1KG,EA,,,,,,,,
PM,64874793,SFG LBTUB CSP BUTTERFLY 1KG REG2024,EA,,,,,,,,
PM,68889777,PLID UFS KN CSP 1KG,EA,,,,,,,23.0,
PM,68889778,FLEX BAG UFS KN CSP 1KG,EA,,,,,,,,
,,,,,,,,,,,
FG,94010431,Knor Chick Flavd Ssoning Powder 500g -FS,,,,,,,,,
PM,69741620,CLD KN CSP URMC 500G X 24 NEW ULCL,EA,65.0,,,,,,,
PM,69741586,6001-TUB 500 GM NEW ULCL-Modified,EA,,,,,,,,
PM,68889776,FLEX BAG UFS KN CSP 500G,EA,,,,,,,398.0,
,,,,,,,,,,,
FG,94013453,Knorr Biriyani Mix 500g FS new,,,,,,,,,
PM,64405072,CLD IML KN BIRIYANI 500G X 24 ULCL,EA,60.0,,,,,,,
PM,64405145,SFG LBTUB IML BIRIYANI 500G ULCL,EA,,,,,,,,
,,,,,,,,,,,
FG,94010433,Knorr BIRIYANI MIX 500g MT,,,,,,,,,
PM,69741622,CLD KN BIRIYANI 500G X 24 NEW ULCL,EA,80.0,,,,,,,
PM,69741590,SFG LBTUB BIRIYANI 500G X 24 NEW ULCL,EA,,,,,,,28.0,
,,,,,,,,,,,
FG,94010432,Knor Cleanco 1 KG,,,,,,,,,
PM,69741621,CLD KN CSP CLEAN CORE URMC 1KG X 6,EA,,,,,,,,
PM,69741588,SFG LBTUB CSP CLEAN 1KG NEW ULCL,EA,,,,,,,,
PM,64874801,SFG LBTUB CSP CLEAN 1KG REG2024,EA,,,,,,,,
PM,68846022,6001-Clenco 1 kg,EA,,,,,,,,
,,,,,,,,,,,
FG,94013456,Knorr Chicken Flav SsoningPowder 500gFS new  IML,,,,,,,,,
PM,64405073,CLD IML KN CSP 500G X 24 ULCL,EA,,,,,,,,
PM,64891261,LAYER SEP UFS KN CSP 500G IML,EA,300.0,,,,,,,
PM,64405147,SFG LBTUB IML CSP 500G ULCL,EA,,,,,,,,
PM,64405071,PLID IML UFS KN CSP 500G ULCL,EA,,,,,,,,
PM,64957815,LAMI POUCH KNORR CSP 500G UFS URMC,EA,,,,,,,,
,,,,,,,,,,,
FG,94010566,Knor Chicken Curry Mix 15g MT,,,,,,,,,
PM,69772140,CLD KN CHICK CURRY 15G X 144 RMC 2021,EA,,,,,,,,
PM,11490075,"CELLOTAPE 1""(25MM)",EA,,,,,,,,
PM,69772138,LAMI KN CHICK CURRY 15G RMC 2022 NEW ULCL,EA,,,,,,,,3719.0
PM,64872133,LAMI KN CHICK CURRY 15G REG2024,EA,,,,,,,,
PM,69772133,CRT KN CHICK CURRY 15G X 24 NEW ULCL,EA,,,,,,,,
PM,68794556,CRT KN CHICK CURRY 15G X 24 RMC 2021,EA,184.0,,,,,,,
FG,94010567,Knor Biriyani Mix 20g MT,,,,,,,,,
PM,69772135,CLD KN BIRIYANI 20G X 144 RMC 2021,EA,575.0,,,,,,,
PM,64872141,LAMI KN BIRYANI 20G REG2024,EA,,,,,,,,
PM,64872141,LAMI KN BIRYANI 20G RMC 2021 NEW ULCL,EA,,,,,,,7692.0,
PM,69772139,CRT KN BIRIYANI 20G X 24 NEW ULCL,EA,600.0,,,,,,,
FG,94010495,Knorr Maldive Fish Powder Mix 40g,,,,,,,,,
PM,69772141,CLD DT KMF 40G X 12 NEW ULCL,EA,,,,,,,,
PM,69772134,LAMI KMF 40G NEW ULCL,EA,3222.0,,,,,,,
PM,64872142,CART KMF 40G REG2024,EA,,,,,,,,
PM,69772130,CART KMF 40G RMC 2021,EA,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,2.4,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,1551.0,,
,,,,,,,,,,,
,,,,,,,,,137.0,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,335.0,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,9.56,,
